id,day,slphrs,slpwell,weath,lteq,pss,se,ssgs_shame,ssgs_guilt,swls,pc,enthusiastic,calm,nervous,sluggish,happy,peaceful,embarrassed,sad,alert,satisfied,upset,bored,proud,relaxed,stress,depressed,excited,content,tense,disappointed,ashamed,relieved,angry,pos_activ,pos_deact,neg_activ,neg_deact,pfi_auth,pfi_hubr,evalday,posaff,negaff,affbalance,temp,hum,wind,bar,prec
101,0,6,1,1,10,2.5,2,1.4,2.2,3.8,4.333333333,4,5,2,2,4,5,2,2,3,3,3,4,3,5,6,2,3,4,4,3,2,3,1,3.4,4.4,3.4,2.6,2.714285714,2,1,3.9,3,0.9,28,0.79,11,29.4,0.2
101,1,2,1,2,10,2.75,3,1.4,1.4,4.2,5.333333333,2,6,2,4,6,6,2,1,1,5,1,5,2,5,2,2,2,3,2,2,2,2,1,2.6,5,1.8,2.8,2.714285714,1.142857143,0,3.8,2.3,1.5,20.8,0.62,3.6,30.17,0
101,2,9,3,3,10,3.5,4,1,1,5,6.166666667,5,5,1,1,6,6,1,1,3,6,1,1,2,7,1,1,5,6,1,1,1,1,1,4.2,6,1,1,3,1,1,5.1,1,4.1,29.1,0.51,1.9,30.35,0.02
101,3,7.5,3,2,9,3,4,1,1,5,5,6,6,2,1,6,6,1,3,2,6,1,1,7,6,1,1,6,5,1,1,1,1,1,5.4,5.8,1.2,1.4,2.428571429,1,1,5.6,1.3,4.3,30.2,0.58,2.7,30.23,0
101,4,8,4,1,18,2.75,3,1,1,4,5.666666667,5,5,1,1,6,6,1,1,1,4,1,2,1,5,1,1,5,5,1,1,1,1,1,3.6,5,1,1.2,3,1,1,4.3,1.1,3.2,22.7,0.55,2.4,30.46,0
101,5,8,3,2,19,2.75,3,1,1,4.2,5.5,4,6,1,1,5,5,1,1,1,4,1,1,2,5,1,1,2,5,1,1,1,1,1,2.8,5,1,1,1.857142857,1,1,3.9,1,2.9,21.4,0.54,0.7,30.54,0
101,6,8,4,3,21,3.5,4,1,1,4.6,6,6,6,1,1,6,6,1,1,1,6,1,3,1,6,1,1,7,6,1,1,1,1,1,4.2,6,1,1.4,2.857142857,1,1,5.1,1.2,3.9,31.4,0.49,1,30.51,0
101,7,7,3,,14,2.75,3,1,1.4,4.6,6,6,6,1,1,6,6,1,1,1,3,1,2,1,6,1,1,7,6,1,1,1,1,1,4.2,5.4,1,1.2,3.142857143,1,1,4.8,1.1,3.7,45.3,0.52,1.1,30.3,0
102,0,7,3,0,12,3.5,5,1,1,5.6,6.833333333,4,7,3,1,7,7,1,1,6,7,1,2,6,7,2,1,5,7,1,1,1,3,1,5.6,7,1.6,1.2,4,1,0,6.3,1.4,4.9,28,0.79,11,29.4,0.2
102,1,6,3,0,20,4,5,1,1,6.6,7,7,7,7,1,7,7,1,1,7,7,1,1,7,7,1,1,7,7,1,1,1,7,1,7,7,2.2,1,5,1,0,7,1.6,5.4,20.8,0.62,3.6,30.17,0
102,2,3,1,2,11,4,5,1,1,5.6,6.4,7,7,7,4,7,7,1,1,3,6,2,2,7,3,5,1,7,7,2,1,1,3,1,6.2,6,3.4,1.8,4.714285714,1,1,6.1,2.6,3.5,29.1,0.51,1.9,30.35,0.02
