"id","cohort","phase2","sex","yearinschool","nach_iap","ffail","wofo_w","wofo_m","wofo_wm","wofo_wmtot","socdes","tpfs_aut","tpfs_hub","pni_cse","pni_exp","pni_ssse","pni_hds","pni_grnf","pni_dev","pni_enrg","pni_total","agg_hos","agg_ang","erq_reap","erq_supp","ecr_avo","ecr_anx","bfi_e","bfi_a","bfi_c","bfi_n","bfi_o","iipsc_pa","iipsc_bc","iipsc_de","iipsc_fg","iipsc_hi","iipsc_jk","iipsc_lm","iipsc_no","stif_fix","stif_inc","stif_diff","vdi_exp","vdi_sub","vdi_lov","tsca_shame","tsca_guilt","csiv_pa","csiv_bc","csiv_de","csiv_fg","csiv_hi","csiv_jk","csiv_lm","csiv_no","csiv_mean","pni_grandi","pni_vulner"
101,1,0,2,1,2,2.4,3.66666666666667,3.625,3.64880952380952,3.64285714285714,0.384615384615385,3.42857142857143,2.14285714285714,0.916666666666667,3.8,1.33333333333333,4.57142857142857,1.14285714285714,0.714285714285714,0.875,1.78947368421053,1.625,1.28571428571429,5.5,5.75,4.83333333333333,2.16666666666667,3.5,1.5,4,2,4,1,1,11,1,2,2,4,1,2,5,3,21,20,31,1.75,3.9375,1.125,0,0.75,0.25,0,1.625,1.125,1.375,0.78125,2.09206349206349,1.76934523809524
102,1,0,2,1,5,3.6,4.16666666666667,2.625,3.50595238095238,3.28571428571429,0.461538461538461,4.14285714285714,1,0.75,1.6,3,0.857142857142857,4.85714285714286,0,1.125,1.57894736842105,1.25,1,5,2,1.33333333333333,1.83333333333333,5,4.5,3.5,2,2.5,0,0,0,0,2,1,0,0,1.66666666666667,4.66666666666667,3,30,14,54,1.4375,4,3.125,2.5,1.125,1.5,2.125,3.5,3.75,4,2.703125,3.15238095238095,0.683035714285714
103,1,0,2,3,3.8,2.8,4.33333333333333,3.125,3.81547619047619,3.64285714285714,0.230769230769231,3.42857142857143,1,2.08333333333333,3.2,2.16666666666667,3.28571428571429,2.42857142857143,1.14285714285714,2.5,2.33333333333333,2.625,2,6.33333333333333,1.25,1.33333333333333,2.66666666666667,4,4.5,3.5,2.5,5,5,0,1,3,4,3,1,4,2,5.33333333333333,3.33333333333333,22,17,42,2.125,3.1875,2.375,0.75,0.25,1.125,0.625,0.625,2.25,2.25,1.28125,2.5984126984127,2.25297619047619
104,1,0,2,2,3.6,3.75,5,3.42857142857143,4.3265306122449,4.15384615384615,0.307692307692308,4.14285714285714,1.14285714285714,0.25,0.6,0.5,1.66666666666667,0.714285714285714,0.666666666666667,0.166666666666667,0.653846153846154,1.5,1,3.5,3,1.83333333333333,2.4,3,4.5,4.5,2.5,3,4,1,7,4,6,6,3,,3.33333333333333,3.33333333333333,0,18,,37,3,4.1875,1.5,0.875,1.375,1.5,0.875,1.75,2,2.28571428571429,1.52008928571429,0.604761904761905,0.6875
105,1,0,2,1,4.2,2.8,4.83333333333333,3.375,4.20833333333333,4,0.461538461538461,3.42857142857143,1.14285714285714,3.83333333333333,2.2,3,2.85714285714286,3.57142857142857,2,2.375,2.85964912280702,2.375,1.57142857142857,4.66666666666667,2.25,2.16666666666667,4.16666666666667,3.5,3.5,3,3.5,4.5,2,1,5,5,9,7,6,7,3.33333333333333,3.33333333333333,0,41,25,43,3.25,3.9375,2,1.375,1,2.125,2.625,3,2.875,3,2.25,2.92380952380952,2.76636904761905
106,1,0,2,2,3.8,5,4.33333333333333,3.875,4.13690476190476,4.07142857142857,0.615384615384615,3.83333333333333,1.85714285714286,0.5,1.4,1.5,3.14285714285714,2.42857142857143,0.571428571428571,1.375,1.49122807017544,2.625,1,5,1,1,2.5,3,3.5,5,1.5,3,,3,0,0,2,0,6,6,5.33333333333333,1.33333333333333,-4,35,16,41,3.625,4.0625,2.625,1,0,1.375,1.25,2.25,3.375,3,1.859375,1.77619047619048,1.39732142857143
107,1,0,1,4,5,2.4,4.5,3.25,3.96428571428571,3.78571428571429,0.384615384615385,4.14285714285714,1.28571428571429,1.81818181818182,4.2,2.33333333333333,1.71428571428571,3.57142857142857,1.42857142857143,2.875,2.53571428571429,2.25,3,5.83333333333333,2.25,3.66666666666667,3.8,5,4,5,1.5,4,1,0,1,0,3,4,5,7,3.66666666666667,2.66666666666667,-1,38,16,47,1.9375,3.8125,2.5,1.75,0.625,1.625,2.25,3.25,3.25,3.5,2.34375,3.36825396825397,1.95900974025974
108,1,0,2,1,3.4,3.8,4.33333333333333,3.125,3.81547619047619,3.64285714285714,0.307692307692308,2.85714285714286,2.28571428571429,4.08333333333333,2.8,3.83333333333333,3.28571428571429,4.85714285714286,3.71428571428571,4.5,3.96491228070175,4,3.85714285714286,6,4,3.83333333333333,6.83333333333333,3.5,3,5,4.5,3,9,14,9,9,10,12,11,12,5.33333333333333,2,-3.33333333333333,45,38,36,3.75,3.5625,3.875,3.375,3,2.875,3.25,3.875,4,3.625,3.484375,3.83015873015873,3.89583333333333
109,1,0,1,2,4,4.4,4.33333333333333,2.5,3.54761904761905,3.28571428571429,0,3.28571428571429,1.85714285714286,3,2,3.16666666666667,3.14285714285714,4.57142857142857,3.71428571428571,3.125,3.33333333333333,3.75,3.14285714285714,6,4.5,2.16666666666667,5.16666666666667,3.5,3,3,4,3,8,8,3,7,11,9,8,11,3,5,2,41,40,46,3.625,3.75,2.75,2,1.875,2.25,2.625,3.25,3.14285714285714,2.875,2.59598214285714,3.24603174603175,3.24553571428571
110,1,0,2,1,3.4,2,4.5,3.25,3.96428571428571,3.78571428571429,0.769230769230769,2.57142857142857,1,2.41666666666667,3.2,3.16666666666667,2.28571428571429,4.14285714285714,2.57142857142857,2,2.82456140350877,3.375,2.14285714285714,6.66666666666667,2,3.66666666666667,5.66666666666667,3,3.5,3.5,3.5,5,0,2,4,3,5,5,8,6,3.66666666666667,3.33333333333333,-0.333333333333333,40,31,50,3.1875,4.75,2.5,0.5,0.5,1.25,1.125,3,3.375,3.625,1.984375,3.5031746031746,2.31845238095238
111,1,0,1,2,4,2.4,4.66666666666667,3.25,4.05952380952381,3.85714285714286,0.384615384615385,3.85714285714286,2.14285714285714,1,3.8,1.83333333333333,3.28571428571429,2.42857142857143,2.57142857142857,2.25,2.33333333333333,3.375,2,5.16666666666667,5.5,3.5,2.83333333333333,3,3.5,3,3.5,2,5,5,6,3,2,1,6,9,3.33333333333333,4,0.666666666666667,32,17,40,2.75,3.75,2.125,1.5,1.5,2.375,1.25,1.625,2,2.28571428571429,1.83258928571429,2.68730158730159,2.27678571428571
112,1,0,1,1,4,3.2,4.16666666666667,3.125,3.7202380952381,3.57142857142857,0.692307692307692,3,1,1.5,2,2.83333333333333,1.42857142857143,3.85714285714286,0.428571428571429,2.375,2,1.75,1.42857142857143,5.5,4.25,4.83333333333333,2.5,2.5,3.5,3.5,2,1.5,1,1,,0,5,7,4,1,1,6,5,35,24,43,2,3.625,0.625,0.25,0.571428571428571,1.375,1,1.875,1.875,1.25,1.10267857142857,2.8968253968254,1.43303571428571
113,1,0,1,1,5,3,4.5,3.25,3.96428571428571,3.78571428571429,0.461538461538461,4.28571428571429,1,0.916666666666667,1.6,3.33333333333333,2,3,1.42857142857143,1.125,1.82456140350877,2.125,2.14285714285714,5.16666666666667,3,4,2,4,4,5,2.5,4,5,2,0,1,2,0,6,3,4,3.66666666666667,-0.333333333333333,33,20,44,3.2,3.9375,1.625,0.25,0.25,1.5,1.75,2.75,1.75,1.625,1.4375,2.64444444444444,1.36755952380952
114,1,0,2,1,4.4,3.8,4,3.25,3.67857142857143,3.57142857142857,0.538461538461539,3.57142857142857,1,1.66666666666667,3.2,4.5,3.85714285714286,4.57142857142857,0.714285714285714,1.5,2.70175438596491,1.375,1.28571428571429,5.83333333333333,3.5,4,1.66666666666667,4.5,4.5,3,3,5,2,0,3,0,8,12,15,11,1.33333333333333,4.66666666666667,3.33333333333333,51,28,45,3.375,4.3125,0.75,0,0.625,1.625,2.75,3.625,3.125,3.125,1.953125,4.09047619047619,1.93452380952381
115,1,0,1,4,4.6,3.2,5,4,4.57142857142857,4.42857142857143,0.692307692307692,3.85714285714286,2.16666666666667,2.66666666666667,2.8,4.33333333333333,3.71428571428571,3.85714285714286,2.57142857142857,3.875,3.36842105263158,3.14285714285714,3.71428571428571,6.4,6.5,3.66666666666667,5.16666666666667,3,4,4,4,2.5,3,6,14,5,6,10,11,3,3,5,2,50,27,46,2.5625,4.625,3.75,2.125,2.125,3.25,3,3.75,4,3.5,3.1875,3.66349206349206,3.20684523809524
116,1,0,2,2,4.2,2.8,4,3.25,3.67857142857143,3.57142857142857,0.307692307692308,3.71428571428571,1.42857142857143,1.66666666666667,2.4,4.5,4.14285714285714,3.42857142857143,0.571428571428571,2.625,2.59649122807018,2,2,4.83333333333333,4.5,1.5,2.8,4.5,4,4.5,3,4,1,0,0,0,5,8,14,2,3.33333333333333,2.33333333333333,-1,46,24,42,2.4375,4.5,2.125,0,0.375,0.125,1.625,2.75,2.875,3.25,1.640625,3.44285714285714,2.2514880952381
117,1,0,1,3,3.8,4,4.33333333333333,3.5,3.97619047619048,3.85714285714286,0.615384615384615,3.42857142857143,1,1.66666666666667,1.4,2.66666666666667,2,3.42857142857143,1.14285714285714,1.875,1.98245614035088,1.875,1,4,4,1.66666666666667,3.33333333333333,2,4,4,2.5,3,2,2,1,7,6,6,8,3,4.33333333333333,2,-2.33333333333333,32,33,36,2.8125,3.1875,2.5,1.25,1,1.875,2.625,2.875,3,2.875,2.25,2.4984126984127,1.67113095238095
118,1,0,1,1,3.2,3.4,3.5,3.375,3.44642857142857,3.42857142857143,0.230769230769231,2.42857142857143,2.42857142857143,2.75,1,3.33333333333333,3.71428571428571,4.57142857142857,2.57142857142857,3,3.03508771929825,3.375,3.14285714285714,4,5.25,4,4,1.5,3,3.5,3,4,1,2,3,3,4,6,8,1,4,3,-1,40,30,38,2.5625,3,2.125,1.25,2.875,2.5,2.71428571428571,2.75,2,1.75,2.24553571428571,2.96825396825397,3.00892857142857
119,1,0,2,1,5,4.2,4.66666666666667,3.875,4.32738095238095,4.21428571428571,0.461538461538461,3.85714285714286,2.42857142857143,2.33333333333333,1.8,3.33333333333333,3.42857142857143,3.14285714285714,2.14285714285714,2.75,2.71929824561404,2.25,1.42857142857143,5.5,5.5,2.5,2.66666666666667,3.5,5,5,2,3.5,1,4,3,3,5,7,8,4,2.33333333333333,3,0.666666666666667,34,23,45,4.0625,4.75,2.75,2.125,1.5,2.5,2.625,3,3,3,2.5625,2.75873015873016,2.66369047619048
120,1,0,1,2,3.2,2,3.16666666666667,1.75,2.55952380952381,2.35714285714286,0.461538461538461,2,1,1.25,3.6,1.5,2.71428571428571,3.57142857142857,0.571428571428571,1.25,1.94736842105263,1.25,1.85714285714286,3.16666666666667,4.5,4.33333333333333,1.66666666666667,2.5,4.5,3.5,4,3,0,0,7,9,8,7,1,0,4.33333333333333,3,-1.33333333333333,29,33,28,2.625,3.75,1,0.625,0.5,0.5,1,1.75,1.375,1.375,1.015625,2.89047619047619,1.44642857142857
121,1,0,1,1,4,3.2,4,3.25,3.67857142857143,3.57142857142857,0.461538461538461,3.28571428571429,1.14285714285714,2.08333333333333,3.8,2.5,2.71428571428571,3.42857142857143,2,2.375,2.64912280701754,2.875,2.42857142857143,4.83333333333333,4.5,3.83333333333333,3.16666666666667,2.5,3,2.5,1.5,3.5,6,4,6,1,1,3,5,2,3,4,1,26,24,34,2.625,3.375,2.5,2.25,1.625,2.125,1.625,2.125,2.5,2.5,2.15625,3.24285714285714,2.29315476190476
122,1,0,1,1,3.4,4,3.83333333333333,2.875,3.42261904761905,3.28571428571429,0.0769230769230769,2.85714285714286,1.85714285714286,1.75,4.2,3.66666666666667,4,2.71428571428571,3.14285714285714,4,3.21052631578947,3.75,2.57142857142857,2.83333333333333,6.25,6.16666666666667,5.33333333333333,4,1.5,5,4,3.5,2,4,9,2,9,,7,1,4.66666666666667,2,-2.66666666666667,36,23,30,2.375,2.875,2.75,2,2.75,3,2.75,3.5,1.625,2.25,2.578125,3.52698412698413,3.22321428571429
123,1,0,2,1,3.8,4.4,4.5,4,4.28571428571429,4.21428571428571,0.153846153846154,4.42857142857143,1.85714285714286,3.66666666666667,3.4,4.66666666666667,4.14285714285714,4.14285714285714,2.14285714285714,3.25,3.66666666666667,3.75,2.42857142857143,5.5,4,4.66666666666667,4.16666666666667,3.5,1.5,5,4.5,5,7,5,12,1,3,4,11,3,2.33333333333333,4,1.66666666666667,45,20,45,1.9375,4.375,2.375,0.625,1.25,1.625,1.625,2.375,1.875,2.625,1.796875,4.06984126984127,3.30059523809524
124,1,0,2,4,4,3,4.33333333333333,3.75,4.08333333333333,4,0.461538461538461,3.42857142857143,2,1.58333333333333,2.6,1.5,2,3,1.14285714285714,1.5,1.89473684210526,3.75,3.28571428571429,3.83333333333333,3.5,3,3.33333333333333,1.5,1.5,5,4,4,1,4,1,3,1,0,0,0,4.33333333333333,3.33333333333333,-1,25,26,36,3.375,3.625,0.875,0.25,0.25,0.5,0.75,1.375,1.75,1.5,0.90625,2.36666666666667,1.55654761904762
125,1,0,2,1,3.8,4,3.83333333333333,3.875,3.85119047619048,3.85714285714286,0.307692307692308,2.57142857142857,2.42857142857143,4.16666666666667,3.2,3.83333333333333,3.28571428571429,4.14285714285714,2.71428571428571,2.875,3.47368421052632,3.25,3.28571428571429,6.5,3.75,4,5.66666666666667,2,4.5,3,3.5,3,4,6,8,,5,6,9,7,5,3.5,-1.5,39,34,49,3.375,4.625,2.25,1.25,1.28571428571429,1.5,1.5,2.75,3,2.875,2.05133928571429,3.72539682539683,3.26041666666667
126,1,0,2,1,4,3,4,3.25,3.67857142857143,3.57142857142857,0.0769230769230769,3.14285714285714,1.28571428571429,3.33333333333333,1.6,3,3.14285714285714,3.14285714285714,1.71428571428571,2.75,2.71929824561404,3.625,2.14285714285714,4.5,4.5,2.66666666666667,3.66666666666667,4,3.5,4.5,3.5,3.5,2,2,2,2,5,11,7,5,2.33333333333333,3,0.666666666666667,44,32,41,3.75,3.625,1.875,1.25,1.25,1.5,1.875,2.875,3,2.625,2.03125,2.58095238095238,2.73511904761905
