"coupleid","time","time7c","f_personid","f_reldis","f_wrkstrs","f_wrkstrsc","f_wrkstrsc_b","f_wrkstrsc_w","m_personid","m_reldis","m_wrkstrs","m_wrkstrsc","m_wrkstrsc_b","m_wrkstrsc_w"
1,0,-1.5,1,3.03,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,4.46,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,1,-1.35714285714286,1,4.62,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,4.88,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,2,-1.21428571428571,1,2.85,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,4.58,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,3,-1.07142857142857,1,6.4,4,1.0095238,-0.323809533333333,1.33333333333333,2,4.49,1,-1.9904762,-0.133333342857143,-1.85714285714286
1,4,-0.928571428571429,1,2.54,1,-1.9904762,-0.323809533333333,-1.66666666666667,2,5.04,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,5,-0.785714285714286,1,5.16,2,-0.9904762,-0.323809533333333,-0.666666666666667,2,4.87,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,6,-0.642857142857143,1,2.7,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,5.63,2,-0.9904762,-0.133333342857143,-0.857142857142857
1,7,-0.5,1,5,4,1.0095238,-0.323809533333333,1.33333333333333,2,2.97,4,1.0095238,-0.133333342857143,1.14285714285714
1,8,-0.357142857142857,1,4.1,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,4.08,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,9,-0.214285714285714,1,5.47,2,-0.9904762,-0.323809533333333,-0.666666666666667,2,5.36,5,2.0095238,-0.133333342857143,2.14285714285714
1,10,-0.0714285714285714,1,5.7,2,-0.9904762,-0.323809533333333,-0.666666666666667,2,4.36,2,-0.9904762,-0.133333342857143,-0.857142857142857
1,11,0.0714285714285714,1,5.89,1,-1.9904762,-0.323809533333333,-1.66666666666667,2,4.91,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,12,0.214285714285714,1,4.9,3,0.00952380000000019,-0.323809533333333,0.333333333333333,2,4.91,3,0.00952380000000019,-0.133333342857143,0.142857142857143
1,13,0.357142857142857,1,4.86,4,1.0095238,-0.323809533333333,1.33333333333333,2,3.72,4,1.0095238,-0.133333342857143,1.14285714285714
